id,product_id,warehouse_id,last_updated_at_date_id,quantity_on_hand,last_updated_at_time
1,1,1,243,195,12:00:00
2,1,2,243,141,12:00:00
3,2,1,243,53,12:00:00
4,2,2,243,150,12:00:00
5,3,1,243,55,12:00:00
6,3,2,243,59,12:00:00
7,4,1,243,84,12:00:00
8,4,2,243,198,12:00:00
9,5,1,243,37,12:00:00
10,5,2,243,152,12:00:00
11,6,1,243,0,12:00:00
12,6,2,243,70,12:00:00
13,7,1,243,37,12:00:00
14,7,2,243,33,12:00:00
15,8,1,243,138,12:00:00
16,8,2,243,64,12:00:00
17,9,1,243,44,12:00:00
18,9,2,243,28,12:00:00
19,10,1,243,169,12:00:00
20,10,2,243,6,12:00:00
21,11,1,243,33,12:00:00
22,11,2,243,3,12:00:00
23,12,1,243,91,12:00:00
24,12,2,243,60,12:00:00
25,13,1,243,150,12:00:00
26,13,2,243,82,12:00:00
27,14,1,243,4,12:00:00
28,14,2,243,44,12:00:00
29,15,1,243,67,12:00:00
30,15,2,243,13,12:00:00
31,16,1,243,32,12:00:00
32,16,2,243,189,12:00:00
33,17,1,243,107,12:00:00
34,17,2,243,134,12:00:00
35,18,1,243,29,12:00:00
36,18,2,243,190,12:00:00
37,19,1,243,16,12:00:00
38,19,2,243,121,12:00:00
39,20,1,243,114,12:00:00
40,20,2,243,199,12:00:00
41,21,1,243,92,12:00:00
42,21,2,243,131,12:00:00
43,22,1,243,151,12:00:00
44,22,2,243,27,12:00:00
45,23,1,243,115,12:00:00
46,23,2,243,128,12:00:00
47,24,1,243,56,12:00:00
48,24,2,243,157,12:00:00
49,25,1,243,11,12:00:00
50,25,2,243,186,12:00:00
51,26,1,243,200,12:00:00
52,26,2,243,168,12:00:00
53,27,1,243,133,12:00:00
54,27,2,243,77,12:00:00
55,28,1,243,117,12:00:00
56,28,2,243,164,12:00:00
57,29,1,243,7,12:00:00
58,29,2,243,15,12:00:00
59,30,1,243,122,12:00:00
60,30,2,243,102,12:00:00
61,31,1,243,109,12:00:00
62,31,2,243,175,12:00:00
63,32,1,243,27,12:00:00
64,32,2,243,125,12:00:00
65,33,1,243,182,12:00:00
66,33,2,243,113,12:00:00
67,34,1,243,18,12:00:00
68,34,2,243,20,12:00:00
69,35,1,243,82,12:00:00
70,35,2,243,155,12:00:00
71,36,1,243,37,12:00:00
72,36,2,243,16,12:00:00
73,37,1,243,32,12:00:00
74,37,2,243,70,12:00:00
75,38,1,243,159,12:00:00
76,38,2,243,162,12:00:00
77,39,1,243,149,12:00:00
78,39,2,243,140,12:00:00
79,40,1,243,182,12:00:00
80,40,2,243,83,12:00:00
81,41,1,243,97,12:00:00
82,41,2,243,152,12:00:00
83,42,1,243,135,12:00:00
84,42,2,243,75,12:00:00
85,43,1,243,116,12:00:00
86,43,2,243,129,12:00:00
87,44,1,243,154,12:00:00
88,44,2,243,110,12:00:00
89,45,1,243,25,12:00:00
90,45,2,243,179,12:00:00
91,46,1,243,29,12:00:00
92,46,2,243,167,12:00:00
93,47,1,243,166,12:00:00
94,47,2,243,196,12:00:00
95,48,1,243,141,12:00:00
96,48,2,243,184,12:00:00
97,49,1,243,55,12:00:00
98,49,2,243,110,12:00:00
99,50,1,243,115,12:00:00
100,50,2,243,58,12:00:00
101,51,1,243,105,12:00:00
102,51,2,243,86,12:00:00
103,52,1,243,116,12:00:00
104,52,2,243,102,12:00:00
105,53,1,243,106,12:00:00
106,53,2,243,186,12:00:00
107,54,1,243,24,12:00:00
108,54,2,243,80,12:00:00
109,55,1,243,109,12:00:00
110,55,2,243,80,12:00:00
111,56,1,243,170,12:00:00
112,56,2,243,65,12:00:00
113,57,1,243,95,12:00:00
114,57,2,243,39,12:00:00
115,58,1,243,175,12:00:00
116,58,2,243,121,12:00:00
117,59,1,243,17,12:00:00
118,59,2,243,23,12:00:00
119,60,1,243,21,12:00:00
120,60,2,243,23,12:00:00
121,61,1,243,110,12:00:00
122,61,2,243,24,12:00:00
123,62,1,243,190,12:00:00
124,62,2,243,189,12:00:00
125,63,1,243,95,12:00:00
126,63,2,243,33,12:00:00
127,64,1,243,142,12:00:00
